epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,32.4096,1.13277,1.7696,1.06617,0.00333,1,0.995,0.4975,1.60416,3.3878,1.4446,0.0010892,0.0010892,0.0010892
48,33.1346,1.08947,1.86904,1.23932,0.00333,1,0.995,0.4975,1.60416,3.3878,1.4446,0.0010694,0.0010694,0.0010694
49,33.8724,1.05085,1.64431,1.3057,0.00333,1,0.995,0.49845,1.4118,3.32511,1.19138,0.0010496,0.0010496,0.0010496
50,34.6469,1.07004,1.45633,1.0205,0.00333,1,0.995,0.49845,1.4118,3.32511,1.19138,0.0010298,0.0010298,0.0010298
51,35.4034,1.70402,1.80402,1.28862,0.00333,1,0.995,0.49845,1.4118,3.32511,1.19138,0.00101,0.00101,0.00101
52,36.7343,1.4812,1.57367,1.232,0.71556,1,0.995,0.49919,1.59032,3.1569,1.13754,0.0009902,0.0009902,0.0009902
53,37.6314,1.30296,2.76946,1.49937,0.71556,1,0.995,0.49919,1.59032,3.1569,1.13754,0.0009704,0.0009704,0.0009704
54,38.4944,1.44212,1.44342,1.10153,0.71556,1,0.995,0.49919,1.59032,3.1569,1.13754,0.0009506,0.0009506,0.0009506
55,39.3184,1.2764,1.62636,1.09036,0.82613,1,0.995,0.59962,1.51297,3.06312,1.16069,0.0009308,0.0009308,0.0009308
56,40.0261,1.1616,1.48029,1.15562,0.82613,1,0.995,0.59962,1.51297,3.06312,1.16069,0.000911,0.000911,0.000911
57,40.7218,1.05809,2.1166,1.30512,0.82613,1,0.995,0.59962,1.51297,3.06312,1.16069,0.0008912,0.0008912,0.0008912
58,41.4528,1.18971,1.39281,1.09029,0.40188,1,0.995,0.6965,1.40429,3.1305,1.20636,0.0008714,0.0008714,0.0008714
59,42.1462,1.11748,1.71261,0.98476,0.40188,1,0.995,0.6965,1.40429,3.1305,1.20636,0.0008516,0.0008516,0.0008516
60,42.8899,0.9603,1.39846,1.17376,0.40188,1,0.995,0.6965,1.40429,3.1305,1.20636,0.0008318,0.0008318,0.0008318
61,43.6139,1.3953,2.11813,1.43884,0.27564,1,0.995,0.6965,1.53462,3.32428,1.31179,0.000812,0.000812,0.000812
62,44.3372,0.93376,1.53299,1.03358,0.27564,1,0.995,0.6965,1.53462,3.32428,1.31179,0.0007922,0.0007922,0.0007922
63,45.0633,1.12212,1.31366,1.09473,0.27564,1,0.995,0.6965,1.53462,3.32428,1.31179,0.0007724,0.0007724,0.0007724
64,46.2959,0.95902,1.42559,1.07228,0.00532,1,0.995,0.6965,1.49717,3.30645,1.33008,0.0007526,0.0007526,0.0007526
65,47.1263,0.8781,1.10596,0.91205,0.00532,1,0.995,0.6965,1.49717,3.30645,1.33008,0.0007328,0.0007328,0.0007328
66,48.0542,0.86116,1.11306,1.02077,0.00532,1,0.995,0.6965,1.49717,3.30645,1.33008,0.000713,0.000713,0.000713
67,48.8232,1.18599,1.4339,1.16518,0.00333,1,0.995,0.6965,1.29971,3.08372,1.25339,0.0006932,0.0006932,0.0006932
68,49.5273,1.6855,2.51434,1.34897,0.00333,1,0.995,0.6965,1.29971,3.08372,1.25339,0.0006734,0.0006734,0.0006734
69,50.2347,0.95864,1.95001,0.98594,0.00333,1,0.995,0.6965,1.29971,3.08372,1.25339,0.0006536,0.0006536,0.0006536
70,51.1747,0.85063,1.13839,0.98812,0.26358,1,0.995,0.6965,1.09258,3.01168,1.18154,0.0006338,0.0006338,0.0006338
71,52.1429,1.02422,1.78357,1.09868,0.26358,1,0.995,0.6965,1.09258,3.01168,1.18154,0.000614,0.000614,0.000614
72,53.0195,0.9145,1.1948,1.00655,0.26358,1,0.995,0.6965,1.09258,3.01168,1.18154,0.0005942,0.0005942,0.0005942
73,53.98,1.14431,1.41227,1.21873,0.37537,1,0.995,0.6965,1.14674,2.84768,1.18416,0.0005744,0.0005744,0.0005744
74,54.8456,1.01071,1.40065,1.09702,0.37537,1,0.995,0.6965,1.14674,2.84768,1.18416,0.0005546,0.0005546,0.0005546
